Turn	Number of animals	Number of plants	Number of empty fields	Most popular genom	Average animal energy	Average life span	Average children count
1	15	50	336	[0, 5, 2, 6]	25.67	NaN	0
2	15	52	336	[0, 5, 2, 6]	25.67	NaN	0
3	15	51	334	[0, 5, 2, 6]	26.67	NaN	0
4	15	55	331	[0, 5, 2, 6]	26	NaN	0
5	15	58	327	[0, 5, 2, 6]	25.67	NaN	0
6	15	61	326	[0, 5, 2, 6]	25.33	NaN	0
7	15	65	321	[0, 5, 2, 6]	24.67	NaN	0
8	15	67	319	[0, 5, 2, 6]	24.67	NaN	0
9	15	68	318	[0, 5, 2, 6]	25	NaN	0
10	15	69	318	[0, 5, 2, 6]	25.33	NaN	0
11	15	70	318	[0, 5, 2, 6]	25.67	NaN	0
12	15	73	315	[0, 5, 2, 6]	25.33	NaN	0
13	15	75	310	[0, 5, 2, 6]	25.33	NaN	0
14	15	77	311	[0, 5, 2, 6]	25.33	NaN	0
15	15	80	307	[0, 5, 2, 6]	25	NaN	0
16	16	77	309	[0, 5, 2, 6]	25	NaN	0.12
17	16	76	311	[0, 5, 2, 6]	25.88	NaN	0.12
18	16	78	306	[0, 5, 2, 6]	25.81	NaN	0.12
